gname;family;nodes;edges;optimal;degree1;degree2;degree3;closeness;clustering;pagerank;weighted;uniform;random
Harvard500.mtx;directed graph;500;5126;21;21;21;21;21;21;21;21;21;21
GD97_c.mtx;directed multigraph;452;920;2;2;2;2;3;2;2;2;4;36
SmallW.mtx;directed multigraph;233;1988;8;8;8;9;8;9;8;8;9;104
cage7.mtx;directed weighted graph;340;5488;5;7;7;7;7;7;6;7;8;78
celegansneural.mtx;directed weighted graph;297;4690;8;9;11;9;10;12;10;9;12;122
GD01_a.mtx;directed weighted graph;259;1290;6;7;7;7;6;7;7;6;7;68
gre_115.mtx;directed weighted graph;115;612;2;2;2;2;2;2;2;2;4;44
gre_185.mtx;directed weighted graph;185;1640;3;6;5;5;4;6;5;4;6;6
gre_216b.mtx;directed weighted graph;216;1320;2;4;2;2;2;4;5;2;4;54
gre_343.mtx;directed weighted graph;343;2184;2;5;4;2;2;5;2;2;5;58
hor_131.mtx;directed weighted graph;434;8552;16;16;16;16;16;16;16;16;17;162
bfwa398.mtx;electromagnetics problem;398;6560;5;7;6;6;7;7;6;6;9;8
bfwb398.mtx;electromagnetics problem;398;2512;3;5;6;5;4;6;6;4;8;68
mhda416.mtx;electromagnetics problem;416;16802;13;15;17;17;13;16;14;13;20;172
mhdb416.mtx;electromagnetics problem;416;1896;6;6;6;6;6;6;6;6;7;7
qc324.mtx;electromagnetics problem;324;26406;81;81;81;81;81;81;82;81;81;81
utm300.mtx;electromagnetics problem;300;5710;8;10;11;11;12;12;13;11;13;128
ash292.mtx;least squares problem;292;1916;6;6;7;7;6;7;6;7;7;7
arc130.mtx;materials problem;130;2304;15;15;15;15;15;15;15;15;15;156
hangGlider_1.mtx;optimal control problem;360;3278;6;6;8;7;6;7;6;6;7;8
orbitRaising_1.mtx;optimal control problem;442;2666;4;6;5;5;5;6;6;6;6;62
spaceStation_2.mtx;optimal control problem;329;5636;7;8;7;7;7;7;8;7;9;102
spaceStation_3.mtx;optimal control problem;467;4844;7;9;9;7;7;7;9;7;11;98
tumorAntiAngiogenesis_1.mtx;optimal control problem;205;1660;4;5;5;6;5;6;5;5;6;66
tumorAntiAngiogenesis_2.mtx;optimal control problem;305;2516;4;5;6;6;5;6;5;5;6;62
tumorAntiAngiogenesis_3.mtx;optimal control problem;410;3706;4;5;6;6;5;6;5;6;6;66
tumorAntiAngiogenesis_4.mtx;optimal control problem;455;4320;4;5;6;6;5;6;5;6;6;6
tumorAntiAngiogenesis_5.mtx;optimal control problem;460;4414;4;5;6;7;5;6;5;7;7;62
tumorAntiAngiogenesis_6.mtx;optimal control problem;465;4516;4;5;6;6;5;6;5;5;6;64
tumorAntiAngiogenesis_7.mtx;optimal control problem;475;4312;4;5;6;6;5;6;5;6;6;66
tumorAntiAngiogenesis_8.mtx;optimal control problem;490;4482;4;5;6;6;5;6;5;6;6;64
str_0.mtx;optimization problem sequence;363;4904;4;5;5;4;5;6;5;5;6;62
494_bus.mtx;power network problem;494;1172;3;4;3;3;3;4;4;3;5;42
bcspwr03.mtx;power network problem;118;358;4;4;4;4;4;4;4;4;4;4
bcspwr04.mtx;power network problem;274;1338;7;8;7;7;7;8;8;7;7;78
bcspwr05.mtx;power network problem;443;1180;3;4;3;3;4;4;4;4;5;46
robot.mtx;robotics problem;120;1580;5;7;6;6;5;6;5;5;8;82
gent113.mtx;statistical/mathematical problem;113;1130;4;4;4;4;4;5;4;4;5;56
lop163.mtx;statistical/mathematical problem;163;1544;2;4;4;2;2;4;3;3;5;54
pivtol.mtx;statistical/mathematical problem;102;408;3;3;3;3;3;3;3;3;3;3
rw136.mtx;statistical/mathematical problem;136;958;4;6;5;5;4;6;5;5;6;54
rw496.mtx;statistical/mathematical problem;496;3718;4;7;6;6;4;6;5;5;7;6
bcsstk03.mtx;structural problem;112;528;4;6;6;6;4;6;4;5;6;54
bcsstk04.mtx;structural problem;132;3516;12;13;14;15;13;14;14;14;18;174
bcsstk05.mtx;structural problem;153;2270;9;10;10;10;11;11;9;10;11;104
bcsstk06.mtx;structural problem;420;7440;12;13;13;13;13;13;13;13;17;154
bcsstk20.mtx;structural problem;485;2650;6;9;9;8;6;9;9;9;9;8
bcsstk22.mtx;structural problem;138;558;5;6;6;6;6;6;6;6;6;56
bcsstm07.mtx;structural problem;420;6832;12;12;13;13;13;14;16;13;16;14
can_144.mtx;structural problem;144;1152;6;6;6;6;6;6;6;6;7;76
can_161.mtx;structural problem;161;1216;4;7;7;7;6;7;7;6;7;76
can_187.mtx;structural problem;187;1304;4;6;6;6;6;6;6;6;7;72
can_229.mtx;structural problem;229;1548;4;6;6;5;5;7;6;5;7;7
can_256.mtx;structural problem;256;2660;7;8;9;9;9;8;8;9;9;92
can_292.mtx;structural problem;292;2248;5;6;6;6;6;6;7;6;8;8
can_445.mtx;structural problem;445;3364;5;7;7;8;7;7;6;7;8;7
Chebyshev1.mtx;structural problem;261;4116;7;9;9;9;9;9;9;9;9;9
dwt_162.mtx;structural problem;162;1020;4;6;6;7;4;6;5;5;7;7
dwt_193.mtx;structural problem;193;3300;8;12;11;10;11;12;12;11;13;14
dwt_198.mtx;structural problem;198;1194;4;6;5;5;6;5;9;5;7;7
dwt_209.mtx;structural problem;209;1534;5;7;7;6;7;7;7;6;8;72
dwt_221.mtx;structural problem;221;1408;5;6;6;6;6;6;7;6;6;66
dwt_234.mtx;structural problem;234;600;3;3;3;3;3;3;4;3;3;38
dwt_245.mtx;structural problem;245;1216;5;6;7;7;7;7;7;6;7;7
dwt_307.mtx;structural problem;307;2216;4;7;7;6;6;7;7;6;7;7
dwt_310.mtx;structural problem;310;2138;4;7;6;6;6;6;6;5;7;7
dwt_346.mtx;structural problem;346;2880;5;7;7;7;7;7;7;7;8;86
dwt_361.mtx;structural problem;361;2592;4;7;6;6;4;7;6;6;7;72
dwt_419.mtx;structural problem;419;3144;5;7;6;7;8;7;8;6;8;74
dwt_492.mtx;structural problem;492;2664;4;6;6;5;5;6;6;5;7;64
lund_a.mtx;structural problem;147;2302;9;13;11;12;9;14;10;9;14;138
mesh2em5.mtx;structural problem;306;1712;4;6;6;6;6;6;6;5;6;58
mesh3em5.mtx;structural problem;289;1600;3;6;6;7;3;6;5;4;6;6
nos1.mtx;structural problem;237;780;2;3;3;3;2;3;3;2;3;3
nos4.mtx;structural problem;100;494;3;5;4;4;4;4;4;4;5;48
nos5.mtx;structural problem;468;4704;8;8;8;8;8;9;8;8;9;84
rotor1.mtx;structural problem;100;1284;7;7;7;8;7;8;7;8;8;96
sphere3.mtx;structural problem;258;1536;3;6;6;6;5;6;4;5;6;6
will199.mtx;structural problem;199;1358;4;5;5;5;5;6;6;5;6;6
fs_183_6.mtx;subsequent 2D/3D problem;183;1772;7;7;7;8;7;7;7;7;9;8
oscil_dcop_19.mtx;subsequent circuit simulation problem;430;2356;3;4;4;4;4;4;4;3;5;42
cavity02.mtx;subsequent computational fluid dynamics problem;317;14168;19;19;19;20;19;22;24;19;24;208
cavity03.mtx;subsequent computational fluid dynamics problem;317;14168;19;19;19;19;19;22;22;19;21;204
str_200.mtx;subsequent optimization problem;363;6132;4;6;6;5;5;6;7;5;7;7
str_400.mtx;subsequent optimization problem;363;6310;4;6;6;6;5;8;5;6;7;74
str_600.mtx;subsequent optimization problem;363;6550;5;5;6;7;6;8;6;6;7;8
lshp_265.mtx;thermal problem;265;1488;4;7;6;5;4;6;5;5;6;58
lshp_406.mtx;thermal problem;406;2310;4;6;7;6;5;6;5;4;6;6
adjnoun.mtx;undirected graph;112;850;5;6;7;7;7;7;6;7;8;74
Erdos971.mtx;undirected graph;433;2628;7;9;9;9;9;10;9;9;11;106
Erdos981.mtx;undirected graph;445;2762;7;9;9;9;9;9;9;9;10;106
Erdos991.mtx;undirected graph;454;2834;7;9;9;9;9;10;9;10;12;11
GD06_theory.mtx;undirected graph;101;380;2;2;2;2;2;2;2;2;4;28
GD98_c.mtx;undirected graph;112;336;3;4;4;4;4;4;4;4;4;4
polbooks.mtx;undirected graph;105;882;6;6;8;8;7;8;6;7;8;82
celegans_metabolic.mtx;undirected multigraph;453;4050;9;11;10;10;11;10;11;10;13;124
football.mtx;undirected multigraph;115;1226;9;9;9;9;9;9;9;9;10;92
jazz.mtx;undirected multigraph;198;5484;30;30;30;30;30;30;30;30;30;30
USAir97.mtx;undirected weighted graph;332;4252;22;24;24;25;25;25;24;24;25;256
